type,name,code,address,district,branch_name,open_date
Microfinance Institutions (Class D),"
                                            Forward Microfinance Laghubitta Bittiya Sanstha Ltd.
                                        ",14029065,"1, Diktel Rupakot Municipality",Khotang,Diktel,2016-02-01
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026049,"1, Thakurbaba Municipality",Bardiya,Bhurigaun,2018-02-28
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026050,"8, Madhuwan Municipality",Bardiya,Sanushree,2018-02-28
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026051,"1, Ghodaghodi Municipality",Kailali,Sukhad,2018-12-16
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026052,"1, Bhajani Municipality",Kailali,Bhajani,2018-12-16
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026053,"3, Palhinandan Rural Municipality",Nawalparasi West,Belaspur,2018-12-16
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026054,"5, Gaidakot Municipality",Nawalparasi East,Gaindakot,2018-12-16
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026055,"1, Parsagadhi Municipality",Parsa,Manuwa,2018-12-16
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026056,"3, Pakaha Mainpur Rural Municipality",Parsa,Pakaha Mainpur,2018-12-16
Microfinance Institutions (Class D),"
                                            Vijaya Laghubitta Bittiya Sanstha Ltd.
                                        ",14026057,"11, Lahan Municipality",Siraha,Padariya,2018-12-16
Microfinance Institutions (Class D),"
                                            NMB Laghubitta Bittiya Sanstha Ltd.
                                        ",14028014,"33, Pokhara Metropolitian City",Kaski,Bharatpokharri,2014-02-10
